Marker / msgid;Default msgstr / Beschreibung
mo:ExplorerWindow.new_c64_project_action;Projekt: C= 64 Programm ...
mo:ExplorerWindow.new_c_action;C-Programm
mo:ExplorerWindow.new_character_map_action;C-64 Character Map
mo:ExplorerWindow.new_dbase_action;dBase-Programm
mo:ExplorerWindow.new_dbase_project_action;Projekt: dBase
mo:ExplorerWindow.new_file_action;Eine neue Textdatei anlegen
mo:ExplorerWindow.new_lisp_action;LISP-Programm
mo:ExplorerWindow.new_logo_action;LOGO-Programm
mo:ExplorerWindow.new_logo_project_action;Projekt: LOGO
mo:ExplorerWindow.new_pascal_action;Pascal-Programm
mo:ExplorerWindow.new_pixel_screen_action;C-64 Pixel Screen
mo:ExplorerWindow.new_prolog_action;Prolog-Programm
mo:ExplorerWindow.new_prolog_project_action;Projekt: PROLOG
mo:ExplorerWindow.new_text_screen_action;C-64 Text Screen
mo:ExplorerWindow.new_windows_project_action;Projekt: Windows Anwendung ...
mo:ExplorerWindow.num_status_label;NUM
mo:ExplorerWindow.object_info_list;object info list
mo:ExplorerWindow.object_info_summary;Keine Objektdatei ausgewählt
mo:ExplorerWindow.object_info_tab;object info tab
mo:ExplorerWindow.open_file_action;Eine Text-, Assembler-, Pascal-, C-, LISP-, PROLOG- oder LOGO-Datei öffnen
mo:ExplorerWindow.palette_editor_action;Die 16 C64-Farben bearbeiten und als Quellcode exportieren
mo:ExplorerWindow.parent_action;parent action
mo:ExplorerWindow.path_edit;Ordnerpfad eingeben und Enter drücken
mo:ExplorerWindow.pe32_linker_action;Windows PE32 Linker ...
mo:ExplorerWindow.pe64_linker_action;Windows PE64 Linker …
